"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","8.2145","8.2193","8.2332","8.1890","","-0.06%"
"12/30/2025","8.2193","8.2447","8.2505","8.2159","","-0.35%"
"12/29/2025","8.2478","8.2476","8.2685","8.2313","","-0.01%"
"12/26/2025","8.2487","8.2537","8.2662","8.2403","","-0.04%"
"12/25/2025","8.2519","8.2657","8.2660","8.2480","","-0.13%"
"12/24/2025","8.2625","8.2887","8.2997","8.2579","","-0.33%"
"12/23/2025","8.2898","8.2727","8.2946","8.2683","","0.17%"
"12/22/2025","8.2759","8.2472","8.2824","8.2415","","0.38%"
"12/19/2025","8.2448","8.2537","8.2648","8.2396","","-0.12%"
"12/18/2025","8.2544","8.2697","8.2819","8.2472","","-0.19%"
"12/17/2025","8.2697","8.2724","8.2817","8.2450","","-0.03%"
"12/16/2025","8.2720","8.2828","8.3120","8.2639","","-0.14%"
"12/15/2025","8.2836","8.2838","8.2937","8.2654","","0.01%"
"12/12/2025","8.2831","8.2851","8.2911","8.2677","","-0.02%"
"12/11/2025","8.2851","8.2624","8.3024","8.2493","","0.27%"
"12/10/2025","8.2624","8.2125","8.2663","8.2084","","0.61%"
"12/09/2025","8.2125","8.2290","8.2374","8.2052","","-0.21%"
"12/08/2025","8.2297","8.2334","8.2501","8.2145","","-0.02%"
"12/05/2025","8.2316","8.2342","8.2509","8.2213","","-0.03%"
"12/04/2025","8.2342","8.2435","8.2604","8.2321","","-0.12%"
"12/03/2025","8.2445","8.2203","8.2488","8.2167","","0.31%"
"12/02/2025","8.2189","8.2107","8.2210","8.1959","","0.11%"
"12/01/2025","8.2096","8.2045","8.2404","8.1978","","0.06%"
"11/28/2025","8.2045","8.2093","8.2143","8.1758","","-0.06%"
"11/27/2025","8.2093","8.2050","8.2225","8.1992","","0.05%"
"11/26/2025","8.2050","8.1973","8.2125","8.1732","","0.09%"
"11/25/2025","8.1973","8.1832","8.2084","8.1674","","0.17%"
"11/24/2025","8.1832","8.1821","8.2068","8.1747","","0.01%"
"11/21/2025","8.1821","8.2042","8.2161","8.1662","","-0.27%"
"11/20/2025","8.2042","8.2046","8.2141","8.1858","","-0.01%"
"11/19/2025","8.2053","8.2315","8.2454","8.1911","","-0.32%"
"11/18/2025","8.2315","8.2393","8.2550","8.2245","","-0.09%"
"11/17/2025","8.2389","8.2504","8.2536","8.2325","","-0.14%"
